velocidade;rpm;J;eta;T;Q;Cp;Ct;Cq;Alpha 0;Alpha 1;Alpha 2;Alpha 3;Alpha 4;Alpha 5;Alpha 6;Alpha 7;Beta 0;Beta 1;Beta 2;Beta 3;Beta 4;Beta 5;Beta 6;Beta 7
16.42211055276382;1000.0;0.4926633165829145;0.9342248462564028;710.0901811457991;119.19621022712626;0.0687794580707665;0.1304247271492283;0.0109465907351442;14.352490770946764;15.552386540466989;14.546529931334067;13.842497582918469;13.382635169260968;13.09925236358326;12.885788107284482;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
16.91959798994975;1000.0;0.5075879396984925;0.9397942660053532;706.2008367604542;121.41067087792052;0.0700572621485173;0.1297103577723282;0.0111499595704212;13.644536530431658;14.964954166294405;14.052253182699747;13.418680637386744;13.01291214571386;12.771972361094456;12.59252803884111;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
17.417085427135678;1000.0;0.5225125628140703;0.9442954336831408;700.7182744397811;123.41911226479948;0.0712161875027145;0.1287033565297556;0.0113344082692162;12.945880393595132;14.38234712532498;13.560716833616576;12.996545357347014;12.644287181920628;12.4454457352564;12.299805906858715;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
17.914572864321606;1000.0;0.5374371859296482;0.9480377175700404;694.0606892815852;125.24190676402766;0.0722679895490412;0.1274805347660054;0.0115018077640433;12.256544052353942;13.804625190216168;13.071969900698615;12.576127306075223;12.276785772167132;12.11969102330978;12.007635470799451;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
18.412060301507537;1000.0;0.5523618090452261;0.9512197718919404;686.5556773778892;126.90205781496836;0.0732259418982119;0.1261020631918571;0.0116542706156603;11.576537833411566;13.231843163083886;12.586059222386911;12.157461018561222;11.910432885826555;11.79472647536164;11.716030323553188;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
18.909547738693465;1000.0;0.567286432160804;0.9539543381000104;678.323519801728;128.39905057937725;0.0740897474745445;0.1245900342492969;0.011791749543004;10.905861273673782;12.664050964280138;12.103029463490618;11.74057999446272;11.545252960848924;11.470570049768188;11.425003888332911;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
19.4070351758794;1000.0;0.582211055276382;0.9562760650688906;669.3086149171354;129.7100731465249;0.0748462431845603;0.1229342353929432;0.0119121495746808;10.244503697237512;12.10129372883046;11.622923123058795;11.325516692392505;11.181269897809823;11.147239408768831;11.134569415690873;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
19.904522613065325;1000.0;0.5971356783919598;0.9582612124424524;659.6772890695937;130.84910944732;0.0755034981370653;0.1211652163597212;0.0120167549492436;9.592444790709507;11.543611909808906;11.145780545448885;10.912302525515216;10.818507054515647;10.824751914372197;10.844739980656364;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
20.402010050251256;1000.0;0.6120603015075377;0.9600513013304138;649.8291420297932;131.87093402073663;0.0760931187321251;0.1193563730258803;0.0121105959814962;8.949655173922464;10.991041387937688;10.671639934452514;10.500967858427742;10.45698724116138;10.503124624494362;10.555528479996063;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
20.899497487437184;1000.0;0.6269849246231155;0.9620190590806322;640.7214189855304;132.92075281150673;0.0766988927526589;0.1176835259361177;0.0122070079112608;8.316096963423027;10.443613586712114;10.200537370335248;10.091542005294938;10.096732716036426;10.18237428934944;10.266947629597576;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
21.39698492462312;1000.0;0.6419095477386935;0.96369684628395;631.1405941261894;133.81649157679206;0.077215758404108;0.1159237825946061;0.0122892696346033;7.6917243264061135;9.90135559236814;9.732506829643306;9.684053229210337;9.737765181772708;9.862517348091949;9.979009961976656;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
